no;exp;wks;occ;ind;south;smsa;ms;fem;union;ed;blk;lwage;t;id
52;25;50;1;1;1;0;1;0;1;10;0;6.543910027;3;8
53;26;50;1;1;1;0;1;0;1;10;0;6.562439919;4;8
54;27;44;1;1;0;1;1;0;1;10;0;6.591670036;5;8
55;28;51;1;1;0;1;1;0;1;10;0;6.817830086;6;8
56;29;51;1;1;0;1;1;0;1;10;0;6.891630173;7;8
57;3;50;0;0;1;1;1;0;0;16;0;6.551080227;1;9
58;4;48;0;0;1;1;1;0;0;16;0;6.551080227;2;9
59;5;50;0;0;1;1;1;0;0;16;0;6.802390099;3;9
60;6;48;0;0;1;1;1;0;0;16;0;6.907760143;4;9
61;7;48;0;0;1;1;1;0;0;16;0;7.090079784;5;9
62;8;44;0;0;1;1;1;0;0;16;0;7.170119762;6;9
63;9;48;0;0;1;1;1;0;0;16;0;7.207859993;7;9
64;3;49;0;0;1;1;1;0;0;16;0;6.396930218;1;10
65;4;47;0;0;1;1;1;0;0;16;0;6.437749863;2;10
66;5;46;0;0;1;1;1;0;0;16;0;6.437749863;3;10
67;6;44;0;0;1;1;1;0;0;16;0;6.437749863;4;10
68;7;43;0;0;1;1;1;0;0;16;0;6.522089958;5;10
69;8;34;0;0;1;1;1;0;0;16;0;6.613379955;6;10
70;9;40;0;0;1;1;1;0;0;16;0;6.739339828;7;10
71;24;47;1;0;0;1;0;0;1;12;0;6.658010006;1;11
72;25;48;1;0;0;1;0;0;1;12;0;6.726230145;2;11
73;26;45;1;0;0;1;0;0;1;12;0;6.802390099;3;11
74;27;45;1;0;0;1;1;0;1;12;0;6.907760143;4;11
75;28;47;1;0;0;1;1;0;1;12;0;7.039659977;5;11
76;29;17;1;0;0;1;1;0;1;12;0;7.127689838;6;11
77;30;47;1;0;0;1;1;0;1;12;0;7.244229794;7;11
78;21;47;1;0;1;1;1;0;1;12;0;6.551080227;1;12
79;22;46;1;0;1;1;1;0;1;12;0;6.629360199;2;12
80;23;47;1;0;1;1;1;0;1;12;0;6.722630024;3;12
81;24;47;1;0;1;1;1;0;1;12;0;6.733399868;4;12
82;25;47;1;0;1;1;1;0;1;12;0;6.722630024;5;12
83;26;47;1;0;1;1;1;0;1;12;0;6.951769829;6;12
84;27;46;1;0;1;1;1;0;1;12;0;7.05272007;7;12
85;26;48;1;0;1;1;1;0;0;12;0;6.905749798;1;13
86;27;48;1;0;1;1;1;0;0;12;0;6.900730133;2;13
87;28;50;1;0;1;1;1;0;0;12;0;7.170119762;3;13
88;29;48;1;0;1;1;1;0;0;12;0;7.265429974;4;13
89;30;48;1;0;1;1;1;0;0;12;0;7.259119987;5;13
90;31;46;0;0;1;1;1;0;0;12;0;7.254879951;6;13
91;32;46;1;0;1;1;1;0;0;12;0;7.400010109;7;13
92;15;45;0;0;1;1;1;0;0;17;0;6.802390099;1;14
93;16;45;0;0;1;1;1;0;0;17;0;6.802390099;2;14
94;17;45;0;0;1;1;1;0;0;17;0;6.925600052;3;14
95;18;44;0;0;1;1;1;0;0;17;0;7.003069878;4;14
96;19;44;0;0;1;1;1;0;0;17;0;7.130899906;5;14
97;20;44;0;0;1;1;1;0;0;17;0;7.124479771;6;14
98;21;44;0;0;1;1;1;0;0;17;0;7.122869968;7;14
99;9;50;0;0;0;0;0;1;0;14;0;5.940169811;1;15
100;10;46;0;0;0;0;0;1;0;14;0;5.860789776;2;15
101;11;48;0;0;0;0;0;1;0;14;0;5.998939991;3;15
102;12;46;0;0;0;0;0;1;0;14;0;6.084499836;4;15
103;13;48;0;0;0;0;0;1;0;14;0;6.395259857;5;15
104;14;41;0;0;0;0;0;1;0;14;0;6.476970196;6;15
105;15;48;0;0;0;0;0;1;0;14;0;6.476970196;7;15
106;16;50;1;0;1;1;0;1;0;12;1;5.978889942;1;16
107;17;50;1;0;1;1;0;1;0;12;1;5.783830166;2;16
108;18;48;1;0;1;1;0;1;0;12;1;5.857930183;3;16
109;19;48;1;0;1;1;0;1;0;12;1;5.953239918;4;16
110;20;50;1;0;1;1;0;1;0;12;1;6.14632988;5;16
111;21;50;1;0;1;1;0;1;0;12;1;6.175869942;6;16
112;22;49;1;0;1;1;0;1;0;12;1;6.388559818;7;16
113;16;49;0;1;0;0;1;0;0;14;0;6.620069981;1;17
114;17;48;0;1;0;0;1;0;0;14;0;6.492239952;2;17
115;18;49;0;1;0;0;1;0;0;14;0;6.779920101;3;17
116;19;50;0;1;0;0;1;0;0;14;0;6.745240211;4;17
117;20;51;0;1;0;0;1;0;0;14;0;7.090079784;5;17
118;21;46;0;1;0;0;1;0;0;14;0;7.130899906;6;17
119;22;47;0;1;0;0;1;0;0;14;0;7.130899906;7;17
120;25;47;0;1;1;1;1;0;0;16;0;6.905749798;1;18
121;26;46;0;1;1;1;1;0;0;16;0;6.905749798;2;18
122;27;47;0;1;1;1;1;0;0;16;0;7.600900173;3;18
123;28;47;0;1;1;1;1;0;0;16;0;7.649690151;4;18
124;29;47;0;1;1;1;1;0;0;16;0;7.718689919;5;18
125;30;48;0;1;1;1;1;0;0;16;0;7.783219814;6;18
126;31;47;0;1;1;1;1;0;0;16;0;7.80384016;7;18
127;40;37;1;1;0;1;1;0;1;12;0;6.386879921;1;19
128;41;49;1;1;0;1;1;0;1;12;0;6.473889828;2;19
129;42;50;1;1;0;1;1;0;1;12;0;6.542469978;3;19
130;43;47;1;1;0;1;1;0;1;12;0;6.675819874;4;19
131;44;47;1;1;0;1;1;0;1;12;0;6.741700172;5;19
132;45;25;1;1;0;1;1;0;1;12;0;6.831950188;6;19
133;46;40;1;1;0;1;1;0;1;12;0;6.936339855;7;19
134;25;50;0;0;0;0;1;0;0;16;0;6.783329964;1;20
135;26;49;0;1;0;0;1;0;0;16;0;6.85751009;2;20
136;27;49;0;1;0;0;1;0;0;16;0;6.98472023;3;20
137;28;48;0;1;0;0;1;0;0;16;0;7.057899952;4;20
138;29;48;0;1;0;0;1;0;0;16;0;7.205639839;5;20
139;30;49;0;1;0;0;1;0;0;16;0;7.109879971;6;20
140;31;48;0;1;0;0;1;0;0;16;0;7.266829967;7;20
141;28;42;1;1;1;0;1;0;1;4;0;6.059120178;1;21
142;29;46;1;1;1;0;1;0;1;4;0;6.052090168;2;21
143;30;49;1;1;1;0;1;0;1;4;0;5.991459846;3;21
144;31;49;1;1;1;0;1;0;1;4;0;6.2146101;4;21
145;32;48;1;0;1;0;1;0;1;4;0;6.324359894;5;21
146;33;45;1;0;1;0;1;0;1;4;0;6.442540169;6;21
147;34;42;1;1;1;0;1;0;1;4;0;6.442540169;7;21
148;20;46;0;0;0;0;1;0;0;14;0;6.599870205;1;22
149;21;45;0;0;0;0;1;0;0;14;0;6.599870205;2;22
150;22;44;0;0;0;0;1;0;0;14;0;6.68460989;3;22
151;23;46;0;0;0;0;1;0;0;14;0;6.727429867;4;22
152;24;47;0;0;0;0;1;0;0;14;0;6.88244009;5;22
153;25;51;0;1;0;0;1;0;0;14;0;6.956550121;6;22
154;26;47;0;0;0;0;1;0;0;14;0;7.047520161;7;22
155;11;50;0;0;0;1;1;0;0;16;0;6.905749798;1;23
156;12;50;0;0;0;1;1;0;0;16;0;6.905749798;2;23
157;13;51;0;0;0;1;1;0;0;16;0;7.495540142;3;23
158;14;50;0;0;0;1;1;0;0;16;0;7.661530018;4;23
159;15;48;0;0;0;1;1;0;0;16;0;7.863269806;5;23
160;16;47;0;0;0;1;1;0;0;16;0;8.039159775;6;23
161;17;50;0;0;0;1;1;0;0;16;0;7.893569946;7;23
162;5;30;0;0;0;0;0;1;0;12;0;5.438079834;1;24
163;6;51;0;0;0;0;0;1;0;12;0;5.521460056;2;24
164;7;51;1;0;0;0;0;1;0;12;0;5.579730034;3;24
165;8;52;1;0;0;0;0;1;0;12;0;5.669879913;4;24
166;9;49;1;0;0;0;0;1;0;12;0;5.736569881;5;24
167;10;51;1;0;0;0;0;1;1;12;0;5.843540192;6;24
168;11;50;1;0;0;0;0;1;0;12;0;5.857930183;7;24
169;8;37;0;0;0;1;1;0;1;17;0;6.529419899;1;25
170;9;39;0;0;0;1;1;0;1;17;0;6.579249859;2;25
171;10;40;0;0;0;1;1;0;1;17;0;6.715380192;3;25
172;11;38;0;0;0;1;1;0;1;17;0;6.68460989;4;25
173;12;38;0;0;0;1;1;0;1;17;0;6.791220188;5;25
174;13;39;0;0;0;1;1;0;1;17;0;6.975409985;6;25
175;14;41;0;0;0;1;1;0;1;17;0;6.907760143;7;25
176;14;48;0;1;1;1;1;0;0;15;0;6.476970196;1;26
177;15;47;1;1;1;1;1;0;0;15;0;6.551080227;2;26
178;16;49;0;1;1;1;1;0;0;15;0;6.866930008;3;26
179;17;48;0;1;1;1;1;0;0;15;0;6.856460094;4;26
180;18;47;0;1;1;1;1;0;0;15;0;7.279319763;5;26
181;19;47;0;1;1;1;1;0;0;15;0;7.549610138;6;26
182;20;48;0;1;1;1;1;0;0;15;0;7.367080212;7;26
183;8;50;0;0;0;1;0;0;0;16;0;6.016160011;1;27
184;9;52;0;0;0;1;0;0;0;16;0;6.905749798;2;27
185;10;48;0;0;0;0;0;0;0;16;0;7.047520161;3;27
186;11;50;0;0;0;0;0;0;0;16;0;7.261929989;4;27
187;12;50;0;0;0;0;0;0;0;16;0;7.090079784;5;27
188;13;45;0;0;0;0;0;0;0;16;0;6.963190079;6;27
189;14;23;0;0;0;0;0;0;0;16;0;7.313220024;7;27
190;26;50;1;0;0;1;1;0;0;12;0;6.733399868;1;28
191;27;50;1;0;0;1;1;0;0;12;0;6.697030067;2;28
192;28;50;1;0;0;1;1;0;0;12;0;6.68460989;3;28
193;29;50;1;0;0;1;1;0;0;12;0;6.745240211;4;28
194;30;50;1;0;0;1;1;0;0;12;0;6.731019974;5;28
195;31;49;1;0;0;1;1;0;0;12;0;6.802390099;6;28
196;32;49;1;0;0;1;1;0;0;12;0;6.745240211;7;28
197;31;49;0;0;0;1;1;0;0;14;0;6.905749798;1;29
198;32;49;0;0;0;1;1;0;0;14;0;6.905749798;2;29
199;33;49;0;0;0;1;1;0;0;14;0;7.062190056;3;29
200;34;49;0;0;0;1;1;0;0;14;0;7.57558012;4;29
201;35;50;0;0;0;1;1;0;0;14;0;7.673220158;5;29
202;36;49;0;0;0;1;1;0;0;14;0;7.473070145;6;29
203;37;49;0;0;0;1;1;0;0;14;0;7.560080051;7;29
204;17;47;0;0;1;1;0;1;0;12;0;6.19644022;1;30
205;18;47;0;0;1;1;0;1;0;12;0;6.298950195;2;30
206;19;48;0;0;1;1;0;1;0;12;0;6.331500053;3;30
207;20;49;0;0;1;1;0;1;0;12;0;6.363029957;4;30
208;21;49;0;0;1;1;0;1;0;12;0;6.481579781;5;30
209;22;45;0;0;1;1;0;1;0;12;0;6.577859879;6;30
210;23;49;0;0;1;1;0;1;0;12;0;6.643789768;7;30
211;22;48;0;1;0;1;1;0;0;17;0;6.905749798;1;31
212;23;48;0;1;0;1;1;0;0;17;0;6.905749798;2;31
213;24;48;0;1;0;1;1;0;0;17;0;7.313220024;3;31
214;25;47;0;1;0;1;1;0;0;17;0;7.244229794;4;31
215;26;43;0;1;0;1;1;0;0;17;0;7.484370232;5;31
216;27;47;0;0;0;1;1;0;0;17;0;7.549610138;6;31
217;28;45;0;1;0;1;1;0;0;17;0;7.613319874;7;31
218;30;50;0;1;0;1;1;0;0;16;0;6.905749798;1;32
219;31;49;0;1;0;1;1;0;0;16;0;6.905749798;2;32
220;32;49;0;1;0;1;1;0;0;16;0;7.467370033;3;32
221;33;48;0;1;0;1;1;0;0;16;0;7.408530235;4;32
222;34;49;0;1;0;1;1;0;0;16;0;7.605889797;5;32
223;35;47;0;1;0;1;1;0;0;16;0;8.048789978;6;32
224;36;47;0;1;0;1;1;0;0;16;0;7.740660191;7;32
225;14;51;0;0;0;1;1;0;0;16;0;6.905749798;1;33
226;15;47;0;0;0;1;1;0;0;16;0;6.905749798;2;33
227;16;51;0;0;0;1;1;0;0;16;0;7.170119762;3;33
228;17;47;0;0;0;1;1;0;0;16;0;7.279319763;4;33
229;18;48;0;0;0;1;1;0;0;16;0;7.240650177;5;33
230;19;50;0;0;0;1;1;0;0;16;0;7.377759933;6;33
231;20;49;0;0;0;1;1;0;0;16;0;7.467370033;7;33
232;45;48;1;0;1;0;1;0;0;8;0;5.758900166;1;34
233;46;48;1;0;1;0;1;0;0;8;0;5.860789776;2;34
234;47;48;1;0;1;0;1;0;0;8;0;5.823050022;3;34
235;48;49;1;0;1;0;1;0;0;8;0;5.948029995;4;34
236;49;50;1;0;1;0;1;0;0;8;0;6.248040199;5;34
237;50;48;1;0;1;0;1;0;0;8;0;6.206580162;6;34
238;51;46;1;0;1;0;1;0;0;8;0;5.983940125;7;34
239;8;30;1;0;0;1;1;0;1;13;1;6.514709949;1;35
240;9;49;1;1;0;1;1;0;1;13;1;6.61070013;2;35
241;10;48;1;1;0;1;1;0;1;13;1;6.396930218;3;35
242;11;49;1;1;0;1;1;0;1;13;1;6.752270222;4;35
243;12;34;1;1;0;1;1;0;1;13;1;6.886529922;5;35
244;13;48;1;1;0;1;1;0;1;13;1;7.01211977;6;35
245;14;45;1;1;0;1;1;0;1;13;1;7.025539875;7;35
246;15;52;1;0;1;1;1;0;0;10;0;6.620069981;1;36
247;16;47;0;0;1;1;1;0;0;10;0;6.77421999;2;36
248;17;50;0;0;1;0;1;0;0;10;0;7.130899906;3;36
249;18;50;0;0;1;0;1;0;0;10;0;7.088409901;4;36
250;19;48;0;0;1;1;1;0;0;10;0;7.130899906;5;36
251;20;50;0;0;1;1;1;0;0;10;0;6.907760143;6;36
252;21;41;0;0;1;1;1;0;0;10;0;7.180069923;7;36
253;12;52;0;0;0;1;1;0;0;14;0;6.905749798;1;37
254;13;47;0;0;0;1;1;0;0;14;0;6.741700172;2;37
255;14;50;0;0;0;1;1;0;0;14;0;7.003069878;3;37
256;15;49;0;0;0;1;1;0;0;14;0;7.130899906;4;37
257;16;50;0;0;0;1;1;0;0;14;0;7.142829895;5;37
258;17;48;0;0;0;1;1;0;0;14;0;7.282760143;6;37
259;18;49;0;0;0;1;0;0;0;14;0;7.40914011;7;37
260;10;48;1;1;0;0;1;0;1;12;0;6.052090168;1;38
261;11;49;1;1;0;0;1;0;1;12;0;6.052090168;2;38
262;12;48;1;1;0;0;1;0;1;12;0;6.052090168;3;38
263;13;48;1;1;0;0;1;0;1;12;0;6.368189812;4;38
264;14;49;1;1;0;0;1;0;1;12;0;6.436150074;5;38
265;15;48;0;1;0;0;1;0;1;12;0;6.549650192;6;38
266;16;49;1;1;0;0;1;0;1;12;0;6.522089958;7;38
267;6;47;0;0;0;1;1;0;0;13;0;6.476970196;1;39
268;7;51;0;0;0;1;0;0;0;13;0;6.586170197;2;39
269;8;48;0;0;0;1;0;0;0;13;0;6.476970196;3;39
270;9;50;0;0;0;1;0;0;0;13;0;6.529419899;4;39
271;10;50;0;0;0;1;0;0;0;13;0;6.802390099;5;39
272;11;52;0;0;0;1;0;0;0;13;0;6.779920101;6;39
273;12;51;0;0;0;1;1;0;0;13;0;6.807929993;7;39
274;30;47;0;0;1;0;1;0;1;8;0;6.357840061;1;40
275;31;39;0;0;1;0;1;0;1;8;0;6.499790192;2;40
276;32;32;0;0;1;0;1;0;1;8;0;6.582029819;3;40
277;33;35;0;0;1;0;1;0;1;8;0;6.694560051;4;40
278;34;47;0;0;1;0;1;0;1;8;0;6.78783989;5;40
279;35;45;0;0;1;0;1;0;1;8;0;6.907760143;6;40
280;36;47;0;0;1;0;1;0;1;8;0;7.35819006;7;40
281;20;50;0;0;1;1;1;0;0;16;0;6.905749798;1;41
282;21;50;0;0;1;1;1;0;0;16;0;6.905749798;2;41
283;22;50;0;0;1;1;1;0;0;16;0;7.377759933;3;41
284;23;50;0;0;1;1;1;0;0;16;0;7.491089821;4;41
285;24;50;0;0;1;1;1;0;0;16;0;7.57558012;5;41
286;25;48;0;0;1;1;1;0;0;16;0;7.528329849;6;41
287;26;47;0;0;1;1;1;0;0;16;0;7.744999886;7;41
288;30;38;1;1;0;1;0;1;1;12;1;6.218599796;1;42
289;31;41;1;0;0;1;0;1;1;12;1;6.493750095;2;42
290;32;51;1;0;0;1;0;1;1;12;1;6.580639839;3;42
291;33;50;1;1;0;1;0;1;1;12;1;6.689599991;4;42
292;34;42;1;1;0;1;0;1;1;12;1;6.793469906;5;42
293;35;50;1;1;0;1;0;1;1;12;1;6.924610138;6;42
294;36;49;1;1;0;1;0;1;1;12;1;7.025539875;7;42
295;5;49;0;0;0;1;1;0;0;16;0;6.68460989;1;43
296;6;47;0;0;0;1;1;0;0;16;0;6.84375;2;43
297;7;48;0;0;0;1;1;0;0;16;0;6.907760143;3;43
298;8;49;0;0;0;1;1;0;0;16;0;7.003069878;4;43
299;9;46;0;0;0;1;1;0;0;16;0;7.130899906;5;43
300;10;45;0;0;0;1;1;0;0;16;0;7.408530235;6;43
301;11;49;0;0;0;1;1;0;0;16;0;7.438379765;7;43
302;7;48;0;1;0;1;1;0;0;17;0;6.905749798;1;44
303;8;48;0;1;0;1;1;0;0;17;0;6.905749798;2;44
304;9;48;0;1;0;1;1;0;0;17;0;7.207859993;3;44
305;10;47;0;1;0;1;1;0;0;17;0;7.313220024;4;44
306;11;46;0;1;0;1;1;0;0;17;0;7.438379765;5;44
307;12;46;0;1;0;1;1;0;0;17;0;7.493319988;6;44
308;13;46;0;1;0;1;1;0;0;17;0;7.600900173;7;44
309;13;49;0;0;0;1;0;1;0;13;0;6.224559784;1;45
310;14;50;0;0;0;1;0;1;0;13;0;6.333280087;2;45
311;15;50;0;0;0;1;0;1;0;13;0;6.309919834;3;45
312;16;50;0;0;0;1;0;1;0;13;0;6.476970196;4;45
313;17;50;0;0;0;1;0;1;0;13;0;6.633319855;5;45
314;18;50;0;0;0;1;0;1;0;13;0;6.682109833;6;45
315;19;49;0;0;0;1;0;1;0;13;0;6.652860165;7;45
316;6;42;1;0;0;0;1;0;1;12;0;6.126870155;1;46
317;7;44;1;0;0;0;1;0;1;12;0;6.232450008;2;46
318;8;48;1;0;0;0;1;0;1;12;0;6.32614994;3;46
319;9;47;1;0;0;0;1;0;1;12;0;6.324359894;4;46
320;10;48;1;0;0;0;1;0;1;12;0;6.467700005;5;46
321;11;47;0;0;0;0;1;0;1;12;0;6.606649876;6;46
322;12;47;1;0;0;0;1;0;1;12;0;6.551080227;7;46
323;26;48;0;0;0;1;1;0;0;14;0;6.905749798;1;47
324;27;49;0;0;0;1;1;0;0;14;0;6.905749798;2;47
325;28;48;0;0;0;1;1;0;0;14;0;7.047520161;3;47
326;29;48;0;0;0;1;1;0;0;14;0;7.090079784;4;47
327;30;48;0;0;0;1;1;0;0;14;0;7.207859993;5;47
328;31;47;0;0;0;1;1;0;0;14;0;7.118020058;6;47
329;32;48;0;0;0;1;1;0;0;14;0;7.090079784;7;47
330;26;50;0;1;0;1;0;0;0;16;0;6.905749798;1;48
331;27;50;0;1;0;1;0;0;0;16;0;6.905749798;2;48
332;28;50;0;1;0;1;0;0;0;16;0;7.130899906;3;48
333;29;50;0;1;0;1;0;0;0;16;0;7.226210117;4;48
334;30;48;0;1;0;1;1;0;0;16;0;7.130899906;5;48
335;31;41;0;1;0;1;1;0;0;16;0;7.313220024;6;48
336;32;49;0;1;0;1;0;0;0;16;0;7.438379765;7;48
337;31;47;0;1;0;0;1;0;0;16;0;6.905749798;1;49
338;32;46;0;1;0;0;1;0;0;16;0;6.905749798;2;49
339;33;47;0;1;0;0;1;0;0;16;0;7.600900173;3;49
340;34;48;0;1;0;0;1;0;0;16;0;7.676010132;4;49
341;35;47;0;1;0;0;1;0;0;16;0;7.7020998;5;49
342;36;49;0;1;0;0;1;0;0;16;0;7.696209908;6;49
343;37;48;0;1;0;0;1;0;0;16;0;7.820839882;7;49
344;31;50;0;0;0;1;0;1;1;12;0;6.270989895;1;50
345;32;45;0;0;0;1;0;1;1;12;0;6.398590088;2;50
346;33;43;0;0;0;1;0;1;1;12;0;6.483109951;3;50
347;34;48;0;0;0;1;0;1;1;12;0;6.556779861;4;50
348;35;46;0;0;0;1;0;1;1;12;0;6.655439854;5;50
349;36;32;0;0;0;1;0;1;1;12;0;6.748760223;6;50
350;37;28;0;0;0;1;0;1;1;12;0;6.849070072;7;50
351;31;45;0;1;0;1;1;0;0;17;0;6.905749798;1;51
352;32;48;0;1;0;1;1;0;0;17;0;6.905749798;2;51
353;33;48;0;1;0;1;1;0;0;17;0;7.600900173;3;51
354;34;47;0;0;0;1;1;0;0;17;0;7.649690151;4;51
355;35;48;0;1;0;1;1;0;0;17;0;7.82404995;5;51
356;36;47;0;1;0;1;1;0;0;17;0;7.863269806;6;51
357;37;44;0;1;0;1;1;0;0;17;0;7.919360161;7;51
358;25;46;0;0;0;1;1;0;0;16;0;6.905749798;1;52
359;26;49;0;0;0;1;1;0;0;16;0;6.905749798;2;52
360;27;49;0;0;0;1;1;0;0;16;0;7.244229794;3;52
361;28;48;0;0;0;1;1;0;0;16;0;7.130899906;4;52
362;29;48;0;0;0;1;1;0;0;16;0;7.467370033;5;52
363;30;48;0;0;0;1;1;0;0;16;0;7.600900173;6;52
364;31;49;0;0;0;1;1;0;1;16;0;7.649690151;7;52
365;13;47;0;0;1;0;1;0;0;13;0;6.436150074;1;53
366;14;49;0;0;1;0;1;0;0;13;0;6.905749798;2;53
367;15;48;1;0;0;0;1;0;0;13;0;6.956550121;3;53
368;16;49;1;0;0;0;1;0;0;13;0;6.956550121;4;53
369;17;48;0;0;0;0;1;0;0;13;0;7.060480118;5;53
370;18;47;1;0;0;0;1;0;0;13;0;7.207859993;6;53
371;19;48;0;0;0;0;1;0;0;13;0;7.207859993;7;53
372;13;47;1;1;0;0;1;0;1;11;0;6.511750221;1;54
373;14;52;1;1;0;0;1;0;1;11;0;6.590300083;2;54
374;15;51;1;1;0;0;1;0;1;11;0;6.68460989;3;54
375;16;51;1;1;0;0;1;0;1;11;0;6.745240211;4;54
376;17;49;1;1;0;0;1;0;1;11;0;6.897699833;5;54
377;18;49;1;1;0;0;1;0;1;11;0;7.077499866;6;54
378;19;50;1;1;0;0;1;0;1;11;0;7.100029945;7;54
379;32;49;1;1;0;1;1;0;1;8;0;6.654150009;1;55
380;33;49;1;1;0;1;1;0;1;8;0;6.850130081;2;55
381;34;49;1;1;0;1;1;0;1;8;0;6.856460094;3;55
382;35;47;1;1;0;1;1;0;1;8;0;6.923630238;4;55
383;36;48;1;1;0;1;1;0;1;8;0;7.041409969;5;55
384;37;47;1;1;0;1;1;0;1;8;0;7.133299828;6;55
385;38;46;1;1;0;1;1;0;1;8;0;7.207859993;7;55
386;23;51;1;1;1;0;1;0;0;12;0;6.109250069;1;56
387;24;49;1;1;1;0;1;0;0;12;0;6.163310051;2;56
388;25;52;1;1;1;0;1;0;0;12;0;6.333280087;3;56
389;26;52;1;1;1;0;1;0;0;12;0;6.333280087;4;56
390;27;48;1;1;1;0;1;0;0;12;0;6.437749863;5;56
391;28;50;1;1;1;0;1;0;0;12;0;6.586170197;6;56
392;29;50;1;1;1;0;1;0;0;12;0;6.533790112;7;56
393;21;47;1;0;1;1;1;0;0;11;0;6.040249825;1;57
394;22;49;1;0;1;1;1;0;0;11;0;6.289720058;2;57
395;23;49;1;0;1;1;1;0;0;11;0;6.016160011;3;57
396;24;49;0;0;1;1;1;0;0;11;0;6.577859879;4;57
397;25;47;0;0;1;1;1;0;0;11;0;6.551080227;5;57
398;26;48;0;0;1;1;1;0;0;11;0;6.532330036;6;57
399;27;48;0;0;1;1;1;0;0;11;0;6.313549995;7;57
400;37;49;1;1;0;1;1;0;1;14;0;6.551080227;1;58
401;38;48;1;1;0;1;1;0;1;14;0;6.68460989;2;58
402;39;40;1;1;0;1;1;0;1;14;0;6.697030067;3;58
403;40;48;1;1;0;1;1;0;0;14;0;6.907760143;4;58
404;41;48;1;1;0;1;1;0;1;14;0;7.003069878;5;58
405;42;48;1;1;0;1;1;0;1;14;0;7.162399769;6;58
406;43;48;1;1;0;1;1;0;0;14;0;7.130899906;7;58
407;26;48;0;1;0;1;1;0;0;17;0;6.905749798;1;59
408;27;49;0;1;0;1;1;0;0;17;0;6.905749798;2;59
409;28;48;0;1;0;1;1;0;0;17;0;7.346010208;3;59
